Player,Pos,Age,Tm,G,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PS/G,Season
Jose Calderon\caldejo01,PG,33,NYK,42,0.415,0.415,0.499,0.906,3,4.7,0.7,0,1.8,9.1,14~15
Dwight Buycks\buyckdw01,PG,25,LAL,6,0.636,0.379,0.538,0.9,2,2.3,0.5,0,2,8.7,14~15
Trey Burke\burketr01,PG,22,UTA,76,0.318,0.4,0.43,0.752,2.7,4.3,0.9,0.2,1.6,12.8,14~15
Lorenzo Brown\brownlo01,PG,24,MIN,29,0.214,0.489,0.451,0.632,2.4,3.1,1,0.2,1,4.2,14~15
Aaron Brooks\brookaa01,PG,30,CHI,82,0.387,0.442,0.495,0.833,2,3.2,0.7,0.2,1.9,11.6,14~15
Eric Bledsoe\bledser01,PG,25,PHO,81,0.324,0.491,0.489,0.8,5.2,6.1,1.6,0.6,3.4,17,14~15
Steve Blake\blakest01,PG,34,POR,81,0.352,0.417,0.491,0.707,1.7,3.6,0.5,0.1,1.3,4.3,14~15
Patrick Beverley\beverpa01,PG,26,HOU,56,0.356,0.426,0.492,0.75,4.2,3.4,1.1,0.4,1.5,10.1,14~15
Jerryd Bayless\bayleje01,PG,26,MIL,77,0.308,0.462,0.462,0.883,2.7,3,0.8,0.2,1.7,7.8,14~15
J.J. Barea\bareajo01,PG,30,DAL,77,0.323,0.463,0.47,0.809,1.7,3.4,0.4,0,0.9,7.5,14~15
D.J. Augustin\augusdj01,PG,27,TOT,82,0.337,0.436,0.463,0.868,2,4.3,0.6,0,1.8,9.5,14~15
Joe Young\youngjo01,PG,23,IND,41,0.217,0.423,0.396,0.8,1.2,1.6,0.4,0,0.8,3.8,15~16
Tony Wroten\wroteto01,PG,22,PHI,8,0.176,0.396,0.362,0.541,2.6,2.5,0.4,0,3.6,8.4,15~16
Delon Wright\wrighde01,PG,23,TOR,27,0.385,0.463,0.481,0.743,1.4,1.1,0.3,0.1,0.6,3.8,15~16
Mo Williams\willima01,PG,33,CLE,41,0.353,0.48,0.497,0.905,1.8,2.4,0.3,0.1,1.4,8.2,15~16
Elliot Williams\williel01,PG,26,MEM,5,0.25,0.167,0.25,0.75,0.8,0.8,0,0,0.2,1.6,15~16
Deron Williams\willide01,PG,31,DAL,65,0.344,0.454,0.477,0.869,2.9,5.8,0.9,0.2,2.3,14.1,15~16
Russell Westbrook\westbru01,PG,27,OKC,80,0.296,0.503,0.489,0.812,7.8,10.4,2,0.3,4.3,23.5,15~16
Briante Weber\weberbr01,PG,23,TOT,7,0,0.412,0.359,0.75,3.6,3,1.3,0.4,1.3,4.4,15~16
C.J. Watson\watsocj01,PG,31,ORL,33,0.292,0.371,0.394,0.872,2,2.7,0.6,0.2,0.8,4.3,15~16
John Wall\walljo01,PG,25,WAS,77,0.351,0.448,0.467,0.791,4.9,10.2,1.9,0.8,4.1,19.9,15~16
Kemba Walker\walkeke02,PG,25,CHO,81,0.371,0.459,0.495,0.847,4.4,5.2,1.6,0.5,2.1,20.9,15~16
Greivis Vasquez\vasqugr01,PG,29,MIL,23,0.247,0.415,0.391,0.846,2,4,0.4,0,1.7,5.7,15~16
Beno Udrih\udrihbe01,PG,33,TOT,44,0.341,0.461,0.472,0.9,1.6,2.6,0.3,0,1.2,4.7,15~16
Isaiah Thomas\thomais02,PG,26,BOS,82,0.359,0.462,0.488,0.871,3,6.2,1.1,0.1,2.7,22.2,15~16
Jeff Teague\teaguje01,PG,27,ATL,79,0.4,0.454,0.495,0.837,2.7,5.9,1.2,0.3,2.8,15.7,15~16
Rodney Stuckey\stuckro01,PG,29,IND,58,0.241,0.453,0.436,0.829,2.7,2.4,0.7,0.1,1.3,8.9,15~16
Russ Smith\smithru01,PG,24,MEM,15,0.2,0.353,0.341,0.615,0.6,0.7,0.3,0.1,0.5,1.5,15~16
Ish Smith\smithis01,PG,27,TOT,77,0.329,0.428,0.44,0.693,4,6.5,1.1,0.3,2.3,12.6,15~16
Marcus Smart\smartma01,PG,21,BOS,61,0.253,0.427,0.405,0.777,4.2,3,1.5,0.3,1.3,9.1,15~16
Donald Sloan\sloando01,PG,28,BRK,61,0.384,0.462,0.494,0.75,2.8,4.4,0.5,0.1,1.3,7,15~16
Ramon Sessions\sessira01,PG,29,WAS,82,0.324,0.507,0.503,0.756,2.5,2.9,0.6,0.1,1.4,9.9,15~16
Dennis Schroder\schrode01,PG,22,ATL,80,0.322,0.465,0.471,0.791,2.6,4.4,0.9,0.1,2.3,11,15~16
D'Angelo Russell\russeda01,PG,19,LAL,80,0.351,0.447,0.478,0.737,3.4,3.3,1.2,0.2,2.5,13.2,15~16
Ricky Rubio\rubiori01,PG,25,MIN,76,0.326,0.396,0.427,0.847,4.3,8.7,2.1,0.1,2.5,10.1,15~16
Terry Rozier\roziete01,PG,21,BOS,39,0.222,0.291,0.302,0.8,1.6,0.9,0.2,0,0.5,1.8,15~16
Derrick Rose\rosede01,PG,27,CHI,66,0.293,0.449,0.448,0.793,3.4,4.7,0.7,0.2,2.7,16.4,15~16
Rajon Rondo\rondora01,PG,29,SAC,72,0.365,0.479,0.494,0.58,6,11.7,2,0.1,3.9,11.9,15~16
Nate Robinson\robinna01,PG,31,NOP,2,0,,0,,0,2,0.5,0,0,0,15~16
Brian Roberts\roberbr01,PG,30,TOT,51,0.357,0.48,0.494,0.894,0.8,1.1,0.2,0,0.5,4,15~16
Pablo Prigioni\prigipa01,PG,38,LAC,59,0.295,0.519,0.469,0.875,1.9,2.2,0.9,0,0.8,2.5,15~16
Ronnie Price\pricero01,PG,32,PHO,62,0.347,0.453,0.497,0.756,1.6,2.4,1.2,0.2,1.1,5.3,15~16
Phil Pressey\pressph01,PG,24,TOT,23,0.222,0.433,0.41,0.52,1.3,3.3,0.8,0.2,1.4,3.3,15~16
Elfrid Payton\paytoel01,PG,21,ORL,73,0.326,0.451,0.456,0.589,3.6,6.4,1.2,0.3,2.4,10.7,15~16
Cameron Payne\payneca01,PG,21,OKC,57,0.324,0.467,0.475,0.792,1.5,1.9,0.6,0.1,0.8,5,15~16
Chris Paul\paulch01,PG,30,LAC,74,0.371,0.501,0.517,0.896,4.2,10,2.1,0.2,2.6,19.5,15~16
Tony Parker\parketo01,PG,33,SAS,72,0.415,0.501,0.512,0.76,2.4,5.3,0.8,0.2,1.8,11.9,15~16
Raul Neto\netora01,PG,23,UTA,81,0.395,0.453,0.507,0.743,1.5,2.1,0.8,0,1.3,5.9,15~16
Jameer Nelson\nelsoja01,PG,33,DEN,39,0.299,0.429,0.438,0.857,2.9,4.9,0.6,0.1,1.7,7.7,15~16
Shabazz Napier\napiesh01,PG,24,ORL,55,0.327,0.351,0.423,0.733,1,1.8,0.4,0,0.8,3.7,15~16
Emmanuel Mudiay\mudiaem01,PG,19,DEN,68,0.319,0.379,0.404,0.67,3.4,5.5,1,0.5,3.2,12.8,15~16
Patty Mills\millspa02,PG,27,SAS,81,0.384,0.469,0.525,0.81,2,2.8,0.7,0.1,0.9,8.5,15~16
Andre Miller\millean02,PG,39,TOT,39,0.25,0.582,0.566,0.75,1.3,2.2,0.4,0,0.9,3.7,15~16
Jordan McRae\mcraejo01,PG,24,TOT,22,0.455,0.429,0.5,0.75,0.9,1.1,0.1,0,0.7,4.5,15~16
T.J. McConnell\mccontj01,PG,23,PHI,81,0.348,0.499,0.503,0.634,3.1,4.5,1.2,0.1,1.7,6.1,15~16
Ray McCallum\mccalra01,PG,24,TOT,41,0.357,0.385,0.428,0.8,1.1,1.5,0.3,0.2,0.6,3.3,15~16
Kendall Marshall\marshke01,PG,24,PHI,30,0.327,0.391,0.432,0.692,0.9,2.4,0.5,0.1,1.4,3.7,15~16
Shelvin Mack\macksh01,PG,25,TOT,52,0.312,0.493,0.486,0.738,2.5,3.6,0.7,0.1,1.8,8.6,15~16
Kyle Lowry\lowryky01,PG,29,TOR,77,0.388,0.461,0.516,0.811,4.7,6.4,2.1,0.4,2.9,21.2,15~16
Shaun Livingston\livinsh01,PG,30,GSW,78,0.167,0.548,0.538,0.86,2.2,3,0.7,0.3,1,6.3,15~16
Damian Lillard\lillada01,PG,25,POR,75,0.375,0.45,0.497,0.892,4,6.8,0.9,0.4,3.2,25.1,15~16
Ty Lawson\lawsoty01,PG,28,TOT,66,0.333,0.419,0.444,0.686,1.8,3.6,0.8,0.1,1.4,5.7,15~16
Shane Larkin\larkish01,PG,23,BRK,78,0.361,0.464,0.481,0.776,2.3,4.4,1.2,0.2,1.9,7.3,15~16
Tyus Jones\jonesty01,PG,19,MIN,37,0.302,0.388,0.41,0.718,1.3,2.9,0.8,0.1,0.9,4.2,15~16
Brandon Jennings\jennibr01,PG,26,TOT,48,0.329,0.409,0.452,0.731,2,3.5,0.6,0.1,1.2,6.9,15~16
Reggie Jackson\jacksre01,PG,25,DET,79,0.353,0.464,0.482,0.864,3.2,6.2,0.7,0.1,2.8,18.8,15~16
Jarrett Jack\jackja01,PG,32,BRK,32,0.304,0.426,0.434,0.893,4.3,7.4,1.1,0.2,2.9,12.8,15~16
Kyrie Irving\irvinky01,PG,23,CLE,53,0.321,0.502,0.496,0.885,3,4.7,1.1,0.3,2.3,19.6,15~16
Marcelo Huertas\huertma01,PG,32,LAL,53,0.262,0.479,0.457,0.931,1.7,3.4,0.5,0.1,1.5,4.5,15~16
Jrue Holiday\holidjr01,PG,25,NOP,65,0.336,0.478,0.485,0.843,3,6,1.4,0.3,2.6,16.8,15~16
Kirk Hinrich\hinriki01,PG,35,TOT,46,0.387,0.373,0.473,0.938,1.5,1.6,0.3,0,0.7,3,15~16
George Hill\hillge01,PG,29,IND,74,0.408,0.466,0.528,0.76,4,3.5,1.1,0.2,1.4,12.1,15~16
Devin Harris\harride01,PG,32,DAL,64,0.329,0.532,0.516,0.721,2.2,1.8,0.9,0.2,1,7.6,15~16
Jorge Gutierrez\gutiejo01,PG,27,CHO,12,0,0.667,0.545,0.909,0.6,1.4,0.3,0,0.5,1.8,15~16
Erick Green\greener01,PG,24,TOT,9,0.2,0.5,0.423,1,0.7,0.3,0.1,0,0,1.4,15~16
Jerian Grant\grantje02,PG,23,NYK,76,0.22,0.454,0.422,0.78,1.9,2.3,0.7,0.1,1.1,5.6,15~16
Andrew Goudelock\goudean01,PG,27,HOU,8,0.111,0.727,0.475,0.75,0.3,0.5,0.8,0.3,0.9,2.8,15~16
Archie Goodwin\goodwar01,PG,21,PHO,57,0.232,0.474,0.444,0.674,2.5,2.1,0.5,0.2,1.8,8.9,15~16
Langston Galloway\gallola01,PG,24,NYK,82,0.344,0.423,0.458,0.754,3.5,2.5,0.9,0.3,0.7,7.6,15~16
Tim Frazier\fraziti01,PG,25,TOT,51,0.333,0.442,0.454,0.716,2.2,3.2,0.6,0,1.3,5.1,15~16
Raymond Felton\feltora01,PG,31,DAL,80,0.282,0.463,0.45,0.847,3.2,3.6,0.9,0.2,1.5,9.5,15~16
Jordan Farmar\farmajo01,PG,29,MEM,12,0.356,0.473,0.5,1,2.1,3.1,1.3,0.2,1.5,9.2,15~16
Tyler Ennis\ennisty01,PG,21,MIL,46,0.333,0.48,0.484,0.735,1.6,2.1,0.5,0,1,4.5,15~16
Goran Dragic\dragigo01,PG,29,MIA,72,0.312,0.527,0.513,0.727,3.8,5.8,1,0.2,2.6,14.1,15~16
Toney Douglas\douglto01,PG,29,NOP,61,0.399,0.421,0.502,0.848,2.3,2.6,1.1,0.1,1,8.7,15~16
Spencer Dinwiddie\dinwisp01,PG,22,DET,12,0.1,0.409,0.361,0.576,1.4,1.8,0.3,0,0.6,4.8,15~16
Matthew Dellavedova\dellama01,PG,25,CLE,76,0.41,0.401,0.501,0.864,2.1,4.4,0.6,0.1,1.5,7.5,15~16
Stephen Curry\curryst01,PG,27,GSW,79,0.454,0.566,0.63,0.908,5.4,6.7,2.1,0.2,3.3,30.1,15~16
Seth Curry\curryse01,PG,25,SAC,44,0.45,0.46,0.567,0.833,1.4,1.5,0.5,0.1,0.8,6.8,15~16
Bryce Cotton\cottobr01,PG,23,TOT,8,0,0.571,0.4,,0,0.4,0.4,0,0.6,1,15~16
Mike Conley\conlemi01,PG,28,MEM,56,0.363,0.449,0.478,0.834,2.9,6.1,1.2,0.3,1.5,15.3,15~16
Darren Collison\collida01,PG,28,SAC,74,0.401,0.519,0.542,0.858,2.3,4.3,1,0.1,1.8,14,15~16
Norris Cole\coleno01,PG,27,NOP,45,0.324,0.427,0.439,0.8,3.4,3.7,0.8,0.1,1.7,10.6,15~16
Mario Chalmers\chalmma01,PG,29,TOT,61,0.309,0.461,0.462,0.832,2.6,3.8,1.4,0.2,1.8,10.3,15~16
Michael Carter~Williams\cartemi01,PG,24,MIL,54,0.273,0.472,0.466,0.654,5.1,5.2,1.5,0.8,2.8,11.5,15~16
Jose Calderon\caldejo01,PG,34,NYK,72,0.414,0.496,0.552,0.875,3.2,4.1,0.9,0.1,1.2,7.6,15~16
Trey Burke\burketr01,PG,23,UTA,64,0.344,0.46,0.483,0.817,1.8,2.3,0.5,0.1,1.3,10.6,15~16
Lorenzo Brown\brownlo01,PG,25,PHO,8,0.125,0.412,0.34,0.75,0.9,1.4,0.4,0.1,1.1,2.5,15~16
Aaron Brooks\brookaa01,PG,31,CHI,69,0.357,0.43,0.471,0.766,1.5,2.6,0.4,0.1,1.2,7.1,15~16
Eric Bledsoe\bledser01,PG,26,PHO,31,0.372,0.482,0.502,0.802,4,6.1,2,0.6,3.5,20.4,15~16
Steve Blake\blakest01,PG,35,DET,58,0.344,0.461,0.496,0.8,1.5,3.4,0.4,0.1,1.4,4.4,15~16
Patrick Beverley\beverpa01,PG,27,HOU,71,0.4,0.472,0.539,0.682,3.5,3.4,1.3,0.4,1.3,9.9,15~16
J.J. Barea\bareajo01,PG,31,DAL,74,0.385,0.481,0.516,0.771,2.1,4.1,0.4,0,1.5,10.9,15~16
D.J. Augustin\augusdj01,PG,28,TOT,62,0.405,0.44,0.52,0.805,1.5,3.2,0.6,0.1,1.4,7.5,15~16
Keith Appling\applike01,PG,23,ORL,5,0,0.4,0.25,1,0.2,0.2,0.2,0,0.6,1.2,15~16
Giannis Antetokounmpo\antetgi01,PG,21,MIL,80,0.257,0.537,0.52,0.724,7.7,4.3,1.2,1.4,2.6,16.9,15~16
Joe Young\youngjo01,PG,24,IND,33,0.217,0.429,0.396,0.733,0.5,0.5,0.1,0,0.2,2.1,16~17
Delon Wright\wrighde01,PG,24,TOR,27,0.333,0.453,0.466,0.764,1.8,2.1,1,0.4,0.9,5.6,16~17
Deron Williams\willide01,PG,32,TOT,64,0.363,0.486,0.509,0.826,2.3,5.6,0.5,0.1,2.2,11,16~17
Isaiah Whitehead\whiteis01,PG,21,BRK,73,0.295,0.446,0.445,0.805,2.5,2.6,0.6,0.5,1.9,7.4,16~17
Russell Westbrook\westbru01,PG,28,OKC,81,0.343,0.459,0.476,0.845,10.7,10.4,1.6,0.4,5.4,31.6,16~17
Briante Weber\weberbr01,PG,24,TOT,20,0.1,0.48,0.425,0.688,1.3,1.1,0.6,0.1,0.4,3.1,16~17
C.J. Watson\watsocj01,PG,32,ORL,62,0.305,0.448,0.452,0.864,1.4,1.8,0.7,0,0.8,4.5,16~17
John Wall\walljo01,PG,26,WAS,78,0.327,0.48,0.482,0.801,4.2,10.7,2,0.6,4.1,23.1,16~17
Kemba Walker\walkeke02,PG,26,CHO,79,0.399,0.476,0.527,0.847,3.9,5.5,1.1,0.3,2.1,23.2,16~17
Greivis Vasquez\vasqugr01,PG,30,BRK,3,0.333,0.2,0.313,0.667,0.7,1.7,0.3,0.3,0.3,2.3,16~17
Fred VanVleet\vanvlfr01,PG,22,TOR,37,0.379,0.341,0.401,0.818,1.1,0.9,0.4,0.1,0.4,2.9,16~17
Tyler Ulis\ulisty01,PG,21,PHO,61,0.266,0.455,0.445,0.775,1.6,3.7,0.8,0.1,1.3,7.3,16~17
Beno Udrih\udrihbe01,PG,34,DET,39,0.344,0.491,0.495,0.941,1.5,3.4,0.3,0,0.9,5.8,16~17
Isaiah Thomas\thomais02,PG,27,BOS,76,0.379,0.528,0.546,0.909,2.7,5.9,0.9,0.2,2.8,28.9,16~17
Jeff Teague\teaguje01,PG,28,IND,82,0.357,0.475,0.492,0.867,4,7.8,1.2,0.4,2.6,15.3,16~17
Isaiah Taylor\taylois01,PG,22,HOU,4,0,0.2,0.143,0.5,0.8,0.8,0.3,0.3,0,0.8,16~17
Rodney Stuckey\stuckro01,PG,30,IND,39,0.317,0.391,0.412,0.748,2.2,2.2,0.4,0,1.4,7.2,16~17
Ish Smith\smithis01,PG,28,DET,81,0.267,0.467,0.458,0.706,2.9,5.2,0.8,0.4,1.4,9.4,16~17
Ramon Sessions\sessira01,PG,30,CHO,50,0.339,0.393,0.42,0.771,1.5,2.6,0.5,0.1,0.9,6.2,16~17
Dennis Schroder\schrode01,PG,23,ATL,79,0.34,0.487,0.493,0.855,3.1,6.3,0.9,0.2,3.3,17.9,16~17
D'Angelo Russell\russeda01,PG,20,LAL,63,0.352,0.447,0.483,0.782,3.5,4.8,1.4,0.3,2.8,15.6,16~17
Ricky Rubio\rubiori01,PG,26,MIN,75,0.306,0.443,0.448,0.891,4.1,9.1,1.7,0.1,2.6,11.1,16~17
Terry Rozier\roziete01,PG,22,BOS,74,0.318,0.405,0.437,0.773,3.1,1.8,0.6,0.1,0.6,5.5,16~17
Derrick Rose\rosede01,PG,28,NYK,64,0.217,0.487,0.477,0.874,3.8,4.4,0.7,0.3,2.3,18,16~17
Rajon Rondo\rondora01,PG,30,CHI,69,0.376,0.418,0.453,0.6,5.1,6.7,1.4,0.2,2.4,7.8,16~17
Sergio Rodriguez\rodrise01,PG,30,PHI,68,0.365,0.415,0.478,0.667,2.3,5.1,0.7,0.1,1.9,7.8,16~17
Brian Roberts\roberbr01,PG,31,CHO,41,0.386,0.372,0.447,0.846,1,1.3,0.2,0,0.6,3.5,16~17
Chasson Randle\randlch01,PG,23,TOT,26,0.34,0.471,0.49,0.953,1.2,1.3,0.3,0.1,0.7,5.3,16~17
Ronnie Price\pricero01,PG,33,PHO,14,0.176,0.143,0.229,0.75,0.8,1.3,0.8,0.1,0.2,1,16~17
Gary Payton\paytoga02,PG,24,MIL,6,0.111,0.538,0.386,0.6,2,2.2,0.5,0.7,1.7,3.3,16~17
Elfrid Payton\paytoel01,PG,22,ORL,82,0.274,0.509,0.493,0.692,4.7,6.5,1.1,0.5,2.2,12.8,16~17
Cameron Payne\payneca01,PG,22,TOT,31,0.314,0.346,0.402,0.625,1.5,1.8,0.5,0.1,0.9,5.2,16~17
Chris Paul\paulch01,PG,31,LAC,61,0.411,0.518,0.555,0.892,5,9.2,2,0.1,2.4,18.1,16~17
Tony Parker\parketo01,PG,34,SAS,63,0.333,0.484,0.486,0.726,1.8,4.5,0.5,0,1.4,10.1,16~17
Raul Neto\netora01,PG,24,UTA,40,0.323,0.517,0.505,0.889,0.8,0.9,0.5,0.1,0.4,2.5,16~17
Jameer Nelson\nelsoja01,PG,34,DEN,75,0.388,0.489,0.531,0.714,2.6,5.1,0.7,0.1,1.7,9.2,16~17
Shabazz Napier\napiesh01,PG,25,POR,53,0.37,0.429,0.492,0.776,1.2,1.3,0.6,0,0.8,4.1,16~17
Dejounte Murray\murrade01,PG,20,SAS,38,0.391,0.441,0.47,0.7,1.1,1.3,0.2,0.2,1,3.4,16~17
Emmanuel Mudiay\mudiaem01,PG,20,DEN,55,0.315,0.408,0.428,0.784,3.2,3.9,0.7,0.2,2.2,11,16~17
Patty Mills\millspa02,PG,28,SAS,80,0.414,0.474,0.558,0.825,1.8,3.5,0.8,0,1.3,9.5,16~17
T.J. McConnell\mccontj01,PG,24,PHI,81,0.2,0.492,0.472,0.811,3.1,6.6,1.7,0.1,2,6.9,16~17
Shelvin Mack\macksh01,PG,26,UTA,55,0.308,0.51,0.495,0.688,2.3,2.8,0.8,0.1,1.6,7.8,16~17
John Lucas III\lucasjo02,PG,34,MIN,5,0,0.333,0.25,,0,0.2,0.4,0,0,0.4,16~17
Kyle Lowry\lowryky01,PG,30,TOR,60,0.412,0.518,0.569,0.819,4.8,7,1.5,0.3,2.9,22.4,16~17
Shaun Livingston\livinsh01,PG,31,GSW,76,0.333,0.55,0.549,0.7,2,1.8,0.5,0.3,0.8,5.1,16~17
Jeremy Lin\linje01,PG,28,BRK,36,0.372,0.48,0.51,0.816,3.8,5.1,1.2,0.4,2.4,14.5,16~17
Damian Lillard\lillada01,PG,26,POR,75,0.37,0.492,0.516,0.895,4.9,5.9,0.9,0.3,2.6,27,16~17
Ty Lawson\lawsoty01,PG,29,SAC,69,0.288,0.502,0.487,0.797,2.6,4.8,1.1,0.1,1.9,9.9,16~17
Nicolas Laprovittola\laproni01,PG,27,SAS,18,0.37,0.5,0.532,1,0.6,1.6,0.2,0.1,1.1,3.3,16~17
Cory Joseph\josepco01,PG,25,TOR,80,0.356,0.477,0.489,0.77,2.9,3.3,0.8,0.2,1.4,9.3,16~17
Tyus Jones\jonesty01,PG,20,MIN,60,0.356,0.454,0.486,0.767,1.1,2.6,0.8,0.1,0.6,3.5,16~17
Tyler Johnson\johnsty01,PG,24,MIA,73,0.372,0.46,0.49,0.768,4,3.2,1.2,0.6,1.2,13.7,16~17
Brandon Jennings\jennibr01,PG,27,TOT,81,0.313,0.399,0.433,0.75,2.4,4.9,0.9,0,1.6,7.1,16~17
Reggie Jackson\jacksre01,PG,26,DET,52,0.359,0.442,0.468,0.868,2.2,5.2,0.7,0.1,2.2,14.5,16~17
Pierre Jackson\jackspi01,PG,25,DAL,8,0.273,0.357,0.372,0.857,1.1,2.4,0.3,0,0.4,4.4,16~17
Demetrius Jackson\jacksde01,PG,22,BOS,5,1,0.667,0.875,0.5,0.8,0.6,0,0,0,2,16~17
Jarrett Jack\jackja01,PG,33,NOP,2,0,1,0.667,1,0,2.5,1,0,1.5,3,16~17
Kyrie Irving\irvinky01,PG,24,CLE,72,0.401,0.505,0.535,0.905,3.2,5.8,1.2,0.3,2.5,25.2,16~17
Marcelo Huertas\huertma01,PG,33,LAL,23,0.211,0.429,0.397,0.529,1,2.3,0.4,0.1,0.8,2.7,16~17
Jrue Holiday\holidjr01,PG,26,NOP,67,0.356,0.498,0.51,0.708,3.9,7.3,1.5,0.7,2.9,15.4,16~17
George Hill\hillge01,PG,30,UTA,49,0.403,0.523,0.554,0.801,3.4,4.2,1,0.2,1.7,16.9,16~17
Andrew Harrison\harrian01,PG,22,MEM,72,0.276,0.363,0.385,0.763,1.9,2.8,0.7,0.3,1.2,5.9,16~17
Devin Harris\harride01,PG,33,DAL,65,0.328,0.476,0.484,0.829,2,2.1,0.7,0.1,0.9,6.7,16~17
James Harden\hardeja01,PG,27,HOU,81,0.347,0.53,0.525,0.847,8.1,11.2,1.5,0.5,5.7,29.1,16~17
Jerian Grant\grantje02,PG,24,CHI,63,0.366,0.473,0.507,0.89,1.8,1.9,0.7,0.1,0.7,5.9,16~17
Jonathan Gibson\gibsojo01,PG,29,DAL,17,0.333,0.4,0.447,0.724,1.3,1.5,0.5,0,1.2,6.2,16~17
Langston Galloway\gallola01,PG,25,TOT,74,0.39,0.367,0.49,0.797,2.1,1.3,0.6,0.1,0.6,7.9,16~17
Tim Frazier\fraziti01,PG,26,NOP,65,0.313,0.446,0.453,0.76,2.7,5.2,0.9,0.1,1.6,7.1,16~17
Yogi Ferrell\ferreyo01,PG,23,TOT,46,0.386,0.422,0.492,0.831,2.4,3.7,0.9,0.2,1.5,10,16~17
Raymond Felton\feltora01,PG,32,LAC,80,0.319,0.473,0.475,0.781,2.7,2.4,0.8,0.3,1,6.7,16~17
Kay Felder\feldeka01,PG,21,CLE,42,0.318,0.404,0.415,0.714,1,1.4,0.4,0.2,0.7,4,16~17
Jordan Farmar\farmajo01,PG,30,SAC,2,0.444,0,0.5,,1.5,4.5,1,0,1.5,6,16~17
Dante Exum\exumda01,PG,21,UTA,66,0.295,0.519,0.488,0.795,2,1.7,0.3,0.2,1.2,6.2,16~17
Tyler Ennis\ennisty01,PG,22,TOT,53,0.386,0.457,0.498,0.84,0.8,1.6,0.5,0,0.8,4.3,16~17
Kris Dunn\dunnkr01,PG,22,MIN,78,0.288,0.404,0.411,0.61,2.1,2.4,1,0.5,1.1,3.8,16~17
Goran Dragic\dragigo01,PG,30,MIA,73,0.405,0.499,0.527,0.79,3.8,5.8,1.2,0.2,2.9,20.3,16~17
Toney Douglas\douglto01,PG,30,MEM,24,0.167,0.48,0.397,0.828,2.5,2.3,0.8,0.2,0.9,4.9,16~17
Spencer Dinwiddie\dinwisp01,PG,23,BRK,59,0.376,0.478,0.507,0.792,2.8,3.1,0.7,0.4,1.1,7.3,16~17
Matthew Dellavedova\dellama01,PG,26,MIL,76,0.367,0.404,0.463,0.854,1.9,4.7,0.7,0,1.8,7.6,16~17
Malcolm Delaney\delanma01,PG,27,ATL,73,0.236,0.428,0.407,0.806,1.7,2.6,0.5,0,1.3,5.4,16~17
Stephen Curry\curryst01,PG,28,GSW,79,0.411,0.537,0.58,0.898,4.5,6.6,1.8,0.2,3,25.3,16~17
Seth Curry\curryse01,PG,26,DAL,70,0.425,0.528,0.578,0.85,2.6,2.7,1.1,0.1,1.3,12.8,16~17
Quinn Cook\cookqu01,PG,23,TOT,14,0.423,0.55,0.583,0.4,0.5,1.9,0.3,0,0.9,5.6,16~17
Mike Conley\conlemi01,PG,29,MEM,69,0.408,0.497,0.545,0.859,3.5,6.3,1.3,0.3,2.3,20.5,16~17
Darren Collison\collida01,PG,29,SAC,68,0.417,0.495,0.527,0.86,2.2,4.6,1,0.1,1.7,13.2,16~17
Norris Cole\coleno01,PG,28,OKC,13,0.231,0.333,0.337,0.8,0.8,1.1,0.6,0,0.5,3.3,16~17
Semaj Christon\chrisse01,PG,24,OKC,64,0.19,0.406,0.372,0.548,1.4,2,0.4,0.1,0.7,2.9,16~17
Michael Carter~Williams\cartemi01,PG,25,CHI,45,0.234,0.401,0.391,0.753,3.4,2.5,0.8,0.5,1.5,6.6,16~17
Jose Calderon\caldejo01,PG,35,TOT,41,0.313,0.5,0.485,0.917,1.8,2.1,0.3,0,1,3.4,16~17
Trey Burke\burketr01,PG,24,WAS,57,0.443,0.459,0.516,0.759,0.8,1.8,0.2,0.1,0.8,5,16~17
Bobby Brown\brownbo02,PG,32,HOU,25,0.4,0.36,0.5,1,0.2,0.6,0,0,0.2,2.5,16~17
Aaron Brooks\brookaa01,PG,32,IND,65,0.375,0.424,0.483,0.8,1.1,1.9,0.4,0.1,1,5,16~17
Eric Bledsoe\bledser01,PG,27,PHO,66,0.335,0.477,0.485,0.847,4.8,6.3,1.4,0.5,3.4,21.1,16~17
Jerryd Bayless\bayleje01,PG,28,PHI,3,0.4,0.333,0.375,0.9,4,4.3,0,0,3,11,16~17
J.J. Barea\bareajo01,PG,32,DAL,35,0.358,0.456,0.491,0.863,2.4,5.5,0.4,0,1.8,10.9,16~17
Wade Baldwin\baldwwa01,PG,20,MEM,33,0.136,0.355,0.326,0.838,1.4,1.8,0.5,0.2,1.2,3.2,16~17
D.J. Augustin\augusdj01,PG,29,ORL,78,0.347,0.412,0.469,0.814,1.5,2.7,0.4,0,1.2,7.9,16~17
Joe Young\youngjo01,PG,25,IND,53,0.379,0.458,0.497,0.759,1.2,0.7,0.3,0,0.5,3.9,17~18
Delon Wright\wrighde01,PG,25,TOR,69,0.366,0.52,0.53,0.829,2.9,2.9,1,0.5,1.1,8,17~18
Nate Wolters\woltena01,PG,26,UTA,5,,0.167,0.167,,0.4,0.2,0,0,0,0.4,17~18
Isaiah Whitehead\whiteis01,PG,22,BRK,16,0.389,0.485,0.506,0.684,1.6,1.3,0.5,0.1,1.5,6.3,17~18
